4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,900	2,900	2,900	43,50	38,59	0,23	-0,23	-0,18	-0,10	0,32	0,10	2,900	46,75	-0,28	-0,01
2,920	2,920	2,920	43,97	38,12	0,23	-0,22	-0,18	-0,21	0,44	0,22	2,920	46,20	-0,28	0,11
2,940	2,940	2,940	44,42	37,69	0,22	-0,22	-0,17	-0,21	0,32	0,21	2,940	45,65	-0,27	0,11
2,960	2,960	2,960	44,86	37,26	0,22	-0,21	-0,17	-0,22	0,32	0,32	2,960	45,12	-0,27	-0,01
2,980	2,980	2,980	45,29	36,85	0,21	-0,20	-0,16	-0,11	0,43	0,34	2,980	44,57	-0,27	0,11
3,000	3,000	3,000	45,72	36,45	0,22	-0,19	-0,15	-0,09	0,53	0,10	3,000	44,03	-0,27	0,11
3,020	3,020	3,020	46,15	36,07	0,21	-0,18	-0,16	-0,31	0,65	0,21	3,020	43,50	-0,27	0,09
3,040	3,040	3,040	46,57	35,72	0,20	-0,17	-0,15	-0,43	0,65	0,33	3,040	42,96	-0,26	0,32
3,060	3,060	3,060	46,96	35,40	0,19	-0,16	-0,14	-0,43	0,65	0,21	3,060	42,45	-0,25	0,33
3,080	3,080	3,080	47,34	35,10	0,19	-0,14	-0,14	-0,43	0,53	0,32	3,080	41,95	-0,25	0,21
3,100	3,100	3,100	47,71	34,83	0,18	-0,13	-0,13	-0,43	0,64	0,44	3,100	41,45	-0,25	0,32
3,120	3,120	3,120	48,05	34,57	0,17	-0,12	-0,12	-0,43	0,76	0,33	3,120	40,96	-0,24	0,43
