4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-in Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-gegen Phase- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl;4-b-Kopplung-Schwebung- Edelstahl
Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Position (cm);Geschwindigkeit (m/s);Beschleunigung (m/s²)
2.88;48.54;-0.13;-0.35;2.88;49.24;0.14;-0.44;2.88;53.27;0.02;-0.64
2.9;48.26;-0.13;-0.01;2.9;49.5;0.13;-0.2;2.9;53.3;0.01;-0.65
2.92;48.01;-0.13;0.12;2.92;49.78;0.13;-0.42;2.92;53.3;0;-0.54
2.94;47.75;-0.13;-0.1;2.94;50.02;0.12;-0.55;2.94;53.29;-0.01;-0.53
2.96;47.49;-0.13;-0.23;2.96;50.24;0.11;-0.32;2.96;53.26;-0.02;-0.65
2.98;47.22;-0.14;-0.01;2.98;50.45;0.1;-0.3;2.98;53.19;-0.04;-0.64
3;46.94;-0.13;0.12;3;50.66;0.1;-0.64;3;53.11;-0.05;-0.64
3.02;46.68;-0.13;-0.11;3.02;50.83;0.08;-0.76;3.02;52.99;-0.06;-2.27
3.04;46.41;-0.14;-0.01;3.04;50.97;0.07;0.88;3.04;52.85;-0.14;-2.27
3.06;46.13;-0.13;0.22;3.06;51.1;0.11;0.84;3.06;52.42;-0.15;0.98
3.08;45.87;-0.13;0.11;3.08;51.42;0.1;-1.95;3.08;52.24;-0.1;0.98
3.1;45.61;-0.13;-0.01;3.1;51.49;0.04;-1.81;3.1;52.01;-0.12;-0.56
3.12;45.36;-0.13;0.11;3.12;51.56;0.03;-0.54;3.12;51.78;-0.12;-1.84
3.14;45.1;-0.12;0.11;3.14;51.6;0.01;-0.54;3.14;51.52;-0.19;-1.91
3.16;44.86;-0.12;-0.01;3.16;51.62;0.01;-0.46;3.16;51.02;-0.2;0.76
3.18;44.6;-0.13;0.22;3.18;51.62;0;-1.7;3.18;50.71;-0.16;0.73
3.2;44.36;-0.12;0.22;3.2;51.6;-0.06;-0.58;3.2;50.39;-0.17;-0.55
3.22;44.13;-0.12;0.09;3.22;51.37;-0.03;1.76;3.22;50.03;-0.18;-0.32
3.24;43.89;-0.11;0.33;3.24;51.49;0.01;-1.87;3.24;49.67;-0.18;-0.42
3.26;43.68;-0.1;0.22;3.26;51.4;-0.1;-3.06;3.26;49.29;-0.2;-0.55
3.28;43.48;-0.1;0.1;3.28;51.08;-0.11;0.75;3.28;48.88;-0.21;-0.32
3.3;43.27;-0.1;0.22;3.3;50.94;-0.07;0.85;3.3;48.47;-0.21;-0.33
3.32;43.08;-0.09;0.21;3.32;50.79;-0.08;-0.54;3.32;48.04;-0.22;-0.22
3.34;42.89;-0.09;0.32;3.34;50.62;-0.09;-0.55;3.34;47.59;-0.22;-0.1
3.36;42.72;-0.08;0.33;3.36;50.41;-0.1;-0.42;3.36;47.16;-0.22;-0.22
3.38;42.56;-0.08;0.22;3.38;50.21;-0.11;-0.54;3.38;46.69;-0.23;-0.11
3.4;42.41;-0.07;0.21;3.4;49.97;-0.12;-0.55;3.4;46.25;-0.23;-0.11
3.42;42.27;-0.07;0.32;3.42;49.71;-0.13;-0.33;3.42;45.78;-0.23;-0.12
3.44;42.13;-0.06;0.33;3.44;49.44;-0.14;-0.22;3.44;45.32;-0.23;0.11
3.46;42.03;-0.06;0.2;3.46;49.16;-0.14;-0.22;3.46;44.85;-0.23;0.11
3.48;41.9;-0.05;0.43;3.48;48.87;-0.15;-0.21;3.48;44.41;-0.23;-0.01
3.5;41.82;-0.04;0.44;3.5;48.58;-0.15;-0.33;3.5;43.94;-0.23;0.22
3.52;41.75;-0.03;0.22;3.52;48.27;-0.16;-0.23;3.52;43.49;-0.22;0.22
3.54;41.68;-0.03;0.21;3.54;47.94;-0.16;0.01;3.54;43.06;-0.22;0.09
3.56;41.63;-0.03;0.31;3.56;47.63;-0.16;-0.11;3.56;42.61;-0.22;0.43
3.58;41.57;-0.02;0.54;3.58;47.31;-0.16;-0.12;3.58;42.2;-0.2;0.44
3.6;41.56;0;0.44;3.6;46.98;-0.16;0;3.6;41.8;-0.2;0.32
3.62;41.56;-0.00026;0.22;3.62;46.65;-0.16;1.39E-13;3.62;41.4;-0.19;0.43
3.64;41.55;0;0.21;3.64;46.32;-0.16;-0.01;3.64;41.04;-0.18;0.42
3.66;41.57;0.01;0.32;3.66;46;-0.16;0.1;3.66;40.68;-0.17;0.54
3.68;41.59;0.02;0.43;3.68;45.67;-0.16;0.22;3.68;40.35;-0.16;0.54
3.7;41.64;0.03;0.45;3.7;45.36;-0.16;0.22;3.7;40.04;-0.15;0.42
3.72;41.69;0.03;0.11;3.72;45.05;-0.15;0.22;3.72;39.75;-0.14;0.63
3.74;41.78;0.03;0.07;3.74;44.76;-0.15;0.22;3.74;39.47;-0.13;0.87
3.76;41.81;0.04;0.77;3.76;44.46;-0.14;0.21;3.76;39.24;-0.11;0.65
3.78;41.93;0.06;0.56;3.78;44.19;-0.14;0.32;3.78;39.04;-0.1;0.52
3.8;42.05;0.06;0.1;3.8;43.91;-0.13;0.43;3.8;38.85;-0.09;0.86
3.82;42.17;0.06;0.21;3.82;43.67;-0.12;0.43;3.82;38.69;-0.07;0.87
3.84;42.3;0.07;0.21;3.84;43.43;-0.11;0.44;3.84;38.59;-0.05;0.64
3.86;42.44;0.07;0.32;3.86;43.22;-0.1;0.32;3.86;38.48;-0.04;0.75
3.88;42.59;0.08;0.33;3.88;43.01;-0.1;0.42;3.88;38.43;-0.02;0.86
3.9;42.77;0.09;0.21;3.9;42.82;-0.09;0.65;3.9;38.39;-0.01;0.87
3.92;42.94;0.09;0.21;3.92;42.66;-0.07;0.54;3.92;38.41;0.01;0.75
3.94;43.13;0.09;0.21;3.94;42.53;-0.07;0.54;3.94;38.44;0.02;0.75
3.96;43.31;0.1;0.21;3.96;42.4;-0.05;0.54;3.96;38.51;0.04;0.86
3.98;43.52;0.1;0.21;3.98;42.32;-0.04;0.42;3.98;38.61;0.06;0.86
4;43.73;0.11;0.21;4;42.23;-0.04;0.65;4;38.74;0.08;0.87
4.02;43.95;0.11;0.21;4.02;42.18;-0.02;0.66;4.02;38.91;0.09;0.76
4.04;44.17;0.12;0.22;4.04;42.16;-0.01;0.42;4.04;39.12;0.11;0.64
4.06;44.41;0.12;0.11;4.06;42.14;-0.00079;0.53;4.06;39.34;0.12;0.75
4.08;44.65;0.12;0.1;4.08;42.16;0.01;0.64;4.08;39.59;0.14;0.76
4.1;44.89;0.12;0.22;4.1;42.19;0.03;0.65;4.1;39.89;0.15;0.64
4.12;45.15;0.13;0.11;4.12;42.26;0.04;0.54;4.12;40.19;0.16;0.76
4.14;45.41;0.13;-0.01;4.14;42.34;0.05;0.53;4.14;40.54;0.18;0.66
4.16;45.67;0.13;0.11;4.16;42.44;0.06;0.66;4.16;40.91;0.19;0.42
4.18;45.92;0.13;0.11;4.18;42.58;0.07;0.44;4.18;41.29;0.2;0.64
4.2;46.2;0.13;1.13E-13;4.2;42.73;0.08;0.31;4.2;41.7;0.21;0.66
4.22;46.46;0.13;0.01;4.22;42.89;0.09;0.54;4.22;42.15;0.22;0.32
4.24;46.73;0.13;-0.11;4.24;43.07;0.1;0.54;4.24;42.59;0.23;0.31
4.26;46.99;0.13;-0.01;4.26;43.28;0.11;0.43;4.26;43.06;0.24;0.54
4.28;47.25;0.13;0.12;4.28;43.5;0.12;0.44;4.28;43.53;0.25;0.44
4.3;47.52;0.13;-0.1;4.3;43.74;0.12;0.32;4.3;44.05;0.25;0.21
4.32;47.78;0.13;-0.22;4.32;44;0.13;0.32;4.32;44.55;0.26;0.22
4.34;48.04;0.12;-0.12;4.34;44.25;0.14;0.44;4.34;45.08;0.26;0.11
4.36;48.28;0.12;0.12;4.36;44.55;0.15;0.22;4.36;45.6;0.26;0.11
4.38;48.54;0.13;0.02;4.38;44.84;0.15;0.1;4.38;46.13;0.27;0.11
4.4;48.8;0.12;-0.22;4.4;45.13;0.15;0.22;4.4;46.66;0.27;1.48E-13
4.42;49.04;0.12;-0.1;4.42;45.44;0.15;0.11;4.42;47.19;0.27;1.82E-13
4.44;49.28;0.12;-0.21;4.44;45.75;0.15;0.11;4.44;47.73;0.27;0.01
4.46;49.52;0.11;-0.34;4.46;46.06;0.16;0.11;4.46;48.26;0.27;-0.09
4.48;49.73;0.11;-0.11;4.48;46.38;0.16;2.46E-13;4.48;48.79;0.26;-0.32
4.5;49.95;0.11;-0.09;4.5;46.69;0.16;1.76E-13;4.5;49.31;0.25;-0.33
4.52;50.16;0.1;-0.32;4.52;47.02;0.16;-1.76E-13;4.52;49.81;0.25;-0.21
4.54;50.37;0.09;-0.34;4.54;47.33;0.16;0.01;4.54;50.31;0.25;-0.41
4.56;50.54;0.09;-0.1;4.56;47.66;0.16;-0.1;4.56;50.79;0.23;0.75
4.58;50.73;0.09;-0.2;4.58;47.97;0.16;-0.21;4.58;51.24;0.28;2.56
4.6;50.9;0.08;-0.45;4.6;48.28;0.15;-0.21;4.6;51.89;0.34;-0.09
4.62;51.06;0.07;-0.22;4.62;48.57;0.15;-0.31;4.62;52.58;0.27;-3.51
4.64;51.19;0.07;-0.17;4.64;48.86;0.14;-0.44;4.64;52.98;0.2;-2.58
4.66;51.35;0.07;0.85;4.66;49.12;0.13;-0.21;4.66;53.37;0.17;-1.12
4.68;51.46;0.11;-0.38;4.68;49.38;0.13;-0.2;4.68;53.66;0.15;-0.54
4.7;51.78;0.05;-2.88;4.7;49.64;0.12;-0.43;4.7;53.97;0.15;-0.42
4.72;51.66;-0.01;-0.28;4.72;49.86;0.11;-0.43;4.72;54.25;0.13;-0.53
4.74;51.75;0.04;2.26;4.74;50.09;0.1;-0.43;4.74;54.5;0.13;-0.64
