3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5,350	-0,289	32,468	-32,358	-0,0069	0,775	-0,772	5,350	2,358	5,105	-20,577	0,0563	0,122	-0,491	5,350	-17,585	0,031	107,914	-0,4198	7,500E-4	2,576
5,400	1,294	30,128	-60,633	0,0309	0,719	-1,448	5,400	2,587	3,974	-24,190	0,0618	0,095	-0,578	5,400	-17,448	5,372	103,830	-0,4165	0,128	2,479
5,450	2,724	26,405	-86,865	0,0650	0,630	-2,074	5,450	2,755	2,686	-26,546	0,0658	0,064	-0,634	5,450	-17,048	10,414	95,662	-0,4070	0,249	2,284
5,500	3,935	21,441	-109,485	0,0939	0,512	-2,614	5,500	2,856	1,319	-26,861	0,0682	0,031	-0,641	5,500	-16,407	14,938	84,038	-0,3917	0,357	2,006
5,550	4,868	15,457	-126,920	0,1162	0,369	-3,030	5,550	2,887	0,000	-25,447	0,0689	0,000	-0,607	5,550	-15,554	18,818	69,272	-0,3713	0,449	1,654
5,600	5,481	8,749	-137,759	0,1308	0,209	-3,289	5,600	2,856	-1,225	-23,091	0,0682	-0,029	-0,551	5,600	-14,525	21,866	51,208	-0,3468	0,522	1,223
5,650	5,743	1,681	-141,058	0,1371	0,040	-3,368	5,650	2,765	-2,309	-20,263	0,0660	-0,055	-0,484	5,650	-13,367	23,939	30,473	-0,3191	0,572	0,728
5,700	5,649	-5,356	-137,131	0,1348	-0,128	-3,274	5,700	2,625	-3,252	-17,122	0,0627	-0,078	-0,409	5,700	-12,131	24,913	8,482	-0,2896	0,595	0,203
5,750	5,207	-12,032	-126,920	0,1243	-0,287	-3,030	5,750	2,439	-4,021	-13,195	0,0582	-0,096	-0,315	5,750	-10,876	24,787	-13,352	-0,2596	0,592	-0,319
5,800	4,445	-18,048	-111,055	0,1061	-0,431	-2,651	5,800	2,223	-4,571	-9,111	0,0531	-0,109	-0,217	5,800	-9,653	23,578	-34,872	-0,2304	0,563	-0,833
