FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
1,62	1,62	0,00	0,00	1,100	99,77	99,75	0,02	-0,554	4,516	-9,817	-0,0132	0,108	-0,234	24,5	1,100	100,58	99,76	0,83	-1,153	19,164	86,394	-0,0275	0,457	2,062	24,6
1,65	1,65	6,34E-4	0,00	1,120				-0,467	4,280	-12,763	-0,0111	0,102	-0,305		1,120				-0,751	19,399	-65,777	-0,0179	0,463	-1,570	
1,67	1,67	8,54E-4	0,00	1,140				-0,383	4,006	-14,726	-0,0091	0,096	-0,352		1,140				-0,377	16,533	-213,039	-0,0090	0,395	-5,086	
1,70	1,70	9,03E-4	0,00	1,150	99,79	99,75	0,03								1,150	101,00	99,76	1,23							
1,72	1,72	6,13E-4	0,00	1,160				-0,306	3,691	-16,690	-0,0073	0,088	-0,398		1,160				-0,090	10,878	-326,922	-0,0021	0,260	-7,805	
1,75	1,75	8,55E-4	0,00	1,180				-0,236	3,338	-16,690	-0,0056	0,080	-0,398		1,180				0,058	3,456	-390,736	0,0014	0,082	-9,328	
1,77	1,77	9,66E-4	0,00	1,200	99,78	99,75	0,02	-0,173	3,024	-16,690	-0,0041	0,072	-0,398	24,5	1,200	99,71	99,76	-0,05	0,049	-4,752	-393,681	0,0012	-0,113	-9,398	24,6
1,79	1,79	0,00	0,00	1,220				-0,115	2,670	-20,617	-0,0027	0,064	-0,492		1,220				-0,132	-12,291	-319,068	-0,0032	-0,293	-7,617	
1,82	1,82	0,00	0,00	1,240				-0,066	2,199	-23,562	-0,0016	0,052	-0,562		1,240				-0,443	-17,514	-187,514	-0,0106	-0,418	-4,477	
1,84	1,84	0,00	0,00	1,250	99,75	99,75	0,00								1,250	98,60	99,76	-1,16							
