FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
1,18	1,18	4,34E-4	0,00	0,800	99,57	99,75	-0,18	-1,816	2,553	17,671	-0,0433	0,061	0,422	24,5	0,800	101,06	99,76	1,30	-0,836	19,596	-31,416	-0,0200	0,468	-0,750	24,6	4,800	99,31	99,76	-0,45	-0,727	-8,891	-15,158	-0,0174	-0,212	-0,362	24,0
1,21	1,21	5,24E-4	0,00	0,820				-1,761	2,867	15,708	-0,0420	0,068	0,375		0,820				-0,449	17,397	-183,587	-0,0107	0,415	-4,383		4,900	149,83	99,77	50,06	-1,902	2,270	80,189	-0,0454	0,054	1,914	24,0
1,23	1,23	4,63E-4	0,00	0,840				-1,701	3,181	16,690	-0,0406	0,076	0,398		0,840				-0,140	12,252	-308,269	-0,0033	0,293	-7,359		5,000	137,65	99,76	37,89	-0,273	7,147	-53,329	-0,0065	0,171	-1,273	24,0
1,26	1,26	5,51E-4	0,00	0,850	99,59	99,75	-0,16								0,850	100,48	99,76	0,72								5,100	96,02	99,76	-3,74	-0,473	-8,396	-35,500	-0,0113	-0,200	-0,847	23,9
1,28	1,28	4,75E-4	0,00	0,860				-1,634	3,534	15,708	-0,0390	0,084	0,375		0,860				0,041	5,066	-381,900	9,7500E-4	0,121	-9,117		5,200	149,56	99,77	49,79	-1,953	0,047	84,430	-0,0466	0,001	2,016	23,9
1,31	1,31	6,05E-4	0,00	0,880				-1,560	3,809	12,763	-0,0372	0,091	0,305		0,880				0,063	-3,024	-397,608	0,0015	-0,072	-9,492		5,300	159,50	99,77	59,73	-0,463	8,490	-37,032	-0,0111	0,203	-0,884	23,9
1,33	1,33	4,58E-4	0,00	0,900	99,62	99,75	-0,13	-1,481	4,045	11,781	-0,0354	0,097	0,281	24,5	0,900	99,48	99,76	-0,28	-0,080	-10,839	-341,648	-0,0019	-0,259	-8,156	24,6	5,400	96,04	99,76	-3,72	-0,254	-7,359	-53,446	-0,0061	-0,176	-1,276	23,9
1,35	1,35	5,33E-4	0,00	0,920				-1,398	4,280	10,799	-0,0334	0,102	0,258		0,920				-0,371	-16,690	-218,930	-0,0089	-0,398	-5,227		5,500	127,21	99,77	27,44	-1,935	-2,199	82,977	-0,0462	-0,052	1,981	23,9
1,38	1,38	5,38E-4	0,00	0,940				-1,310	4,477	7,854	-0,0313	0,107	0,188		0,940				-0,748	-19,596	-65,777	-0,0179	-0,468	-1,570		5,600	159,88	99,77	60,11	-0,694	9,236	-17,907	-0,0166	0,220	-0,427	23,9
1,40	1,40	6,46E-4	0,00	0,950	99,67	99,75	-0,08								0,950	98,38	99,76	-1,38								5,700	96,05	99,76	-3,72	-0,088	-5,781	-67,701	-0,0021	-0,138	-1,616	23,9
1,43	1,43	6,56E-4	0,00	0,960				-1,219	4,595	5,890	-0,0291	0,110	0,141		0,960				-1,155	-19,321	90,321	-0,0276	-0,461	2,156		5,800	126,59	99,77	26,82	-1,850	-4,304	75,595	-0,0442	-0,103	1,805	23,8
1,45	1,45	6,43E-4	0,00	0,980				-1,126	4,712	4,909	-0,0269	0,112	0,117		0,980				-1,521	-15,983	223,839	-0,0363	-0,382	5,344		5,900	160,43	99,77	60,66	-0,949	9,338	2,749	-0,0227	0,223	0,066	23,8
1,48	1,48	5,63E-4	0,00	1,000	99,71	99,75	-0,04	-1,030	4,791	2,945	-0,0246	0,114	0,070	24,5	1,000	98,47	99,76	-1,29	-1,794	-10,367	310,233	-0,0428	-0,247	7,406	24,6	6,000	101,56	99,76	1,81	0,017	-3,754	-77,244	4,1250E-4	-0,090	-1,844	23,8
1,50	1,50	7,71E-4	0,00	1,020				-0,935	4,830	0,982	-0,0223	0,115	0,023		1,020				-1,935	-3,574	349,502	-0,0462	-0,085	8,344		6,100	126,03	99,76	26,27	-1,700	-6,110	62,675	-0,0406	-0,146	1,496	23,8
1,53	1,53	6,36E-4	0,00	1,040				-0,837	4,830	-1,963	-0,0200	0,115	-0,047		1,040				-1,937	3,613	351,466	-0,0462	0,086	8,391		6,200	170,65	99,77	70,88	-1,205	8,781	23,444	-0,0288	0,210	0,560	23,8
1,55	1,55	8,00E-4	0,00	1,050	99,75	99,75	0,00								1,050	99,60	99,76	-0,16								6,300	101,92	99,77	2,15	0,057	-1,422	-81,367	0,0013	-0,034	-1,943	23,8
1,57	1,57	9,24E-4	0,00	1,060				-0,741	4,752	-3,927	-0,0177	0,113	-0,094		1,060				-1,791	10,485	308,269	-0,0428	0,250	7,359		6,400	108,60	99,76	8,83	-1,489	-7,493	45,318	-0,0356	-0,179	1,082	23,8
1,60	1,60	8,72E-4	0,00	1,080				-0,647	4,673	-5,890	-0,0154	0,112	-0,141		1,080				-1,517	15,944	216,966	-0,0362	0,381	5,180		6,500	170,76	99,77	70,99	-1,442	7,642	42,804	-0,0344	0,182	1,022	23,7
1,62	1,62	0,00	0,00	1,100	99,77	99,75	0,02	-0,554	4,516	-9,817	-0,0132	0,108	-0,234	24,5	1,100	100,58	99,76	0,83	-1,153	19,164	86,394	-0,0275	0,457	2,062	24,6	6,600	117,91	99,76	18,14	0,039	1,068	-80,543	9,3750E-4	0,025	-1,923	23,7
1,65	1,65	6,34E-4	0,00	1,120				-0,467	4,280	-12,763	-0,0111	0,102	-0,305		1,120				-0,751	19,399	-65,777	-0,0179	0,463	-1,570		6,700	108,08	99,77	8,31	-1,228	-8,467	24,544	-0,0293	-0,202	0,586	23,7
1,67	1,67	8,54E-4	0,00	1,140				-0,383	4,006	-14,726	-0,0091	0,096	-0,352		1,140				-0,377	16,533	-213,039	-0,0090	0,395	-5,086		6,800	164,66	99,77	64,89	-1,654	5,977	60,083	-0,0395	0,143	1,434	23,7
1,70	1,70	9,03E-4	0,00	1,150	99,79	99,75	0,03								1,150	101,00	99,76	1,23								6,900	118,61	99,76	18,85	-0,033	3,550	-74,574	-7,8750E-4	0,085	-1,780	23,7
1,72	1,72	6,13E-4	0,00	1,160				-0,306	3,691	-16,690	-0,0073	0,088	-0,398		1,160				-0,090	10,878	-326,922	-0,0021	0,260	-7,805		7,000	98,21	99,76	-1,55	-0,944	-8,938	2,081	-0,0225	-0,213	0,050	23,7
1,75	1,75	8,55E-4	0,00	1,180				-0,236	3,338	-16,690	-0,0056	0,080	-0,398		1,180				0,058	3,456	-390,736	0,0014	0,082	-9,328		7,100	164,28	99,77	64,51	-1,821	3,966	73,474	-0,0435	0,095	1,754	23,6
1,77	1,77	9,66E-4	0,00	1,200	99,78	99,75	0,02	-0,173	3,024	-16,690	-0,0041	0,072	-0,398	24,5	1,200	99,71	99,76	-0,05	0,049	-4,752	-393,681	0,0012	-0,113	-9,398	24,6	7,200	141,84	99,76	42,08	-0,151	5,757	-64,089	-0,0036	0,137	-1,530	23,6
1,79	1,79	0,00	0,00	1,220				-0,115	2,670	-20,617	-0,0027	0,064	-0,492		1,220				-0,132	-12,291	-319,068	-0,0032	-0,293	-7,617		7,300	98,16	99,76	-1,61	-0,669	-8,851	-19,871	-0,0160	-0,211	-0,474	23,6
1,82	1,82	0,00	0,00	1,240				-0,066	2,199	-23,562	-0,0016	0,052	-0,562		1,240				-0,443	-17,514	-187,514	-0,0106	-0,418	-4,477		7,400	145,59	99,77	45,82	-1,921	1,783	81,681	-0,0459	0,043	1,950	23,6
1,84	1,84	0,00	0,00	1,250	99,75	99,75	0,00								1,250	98,60	99,76	-1,16								7,500	142,05	99,76	42,29	-0,313	7,485	-49,912	-0,0075	0,179	-1,192	23,6
